ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Germany,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2021,6047.263,,,Currency: DEU - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Ghana,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2022,249.915,,,Currency: GHA - Cedi (GHS),Repository: ILO-STATISTICS - Micro data processing
Greece,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,2190.176,,,Currency: GRC - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Guatemala,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,367.793,,,Currency: GTM - Quetzal (GTQ),Repository: ILO-STATISTICS - Micro data processing
Guinea,LFS - National Survey on Employment and the Informal Sector,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2019,201.011,,,Currency: GIN - Guinean franc (GNF),Repository: ILO-STATISTICS - Micro data processing
Guinea-Bissau,HIES - Harmonized Survey on Household Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2022,148.812,,,Currency: GNB - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Guyana,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2019,416.61,,,Currency: GUY - Guyanese dollar (GYD),Repository: ILO-STATISTICS - Micro data processing
Honduras,HS - Continous Multi-Purpose Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,437.962,,,Currency: HND - Lempira (HNL),Repository: ILO-STATISTICS - Micro data processing | Data reference period: Second quarter
"Hong Kong, China",LFS - General Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2016,2318.915,,,Central tendency measure: Median | Working time arrangement coverage: Full-time and part time workers | Currency: HKG - Hong Kong dollar (HKD),Geographical coverage: Government controlled areas | Population coverage: Excluding institutional population
Hungary,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,1231.742,,,Currency: HUN - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
